Sample	Bacillariophyta	Bolidophyceae	Chrysophyceae	Dictyochophyceae	Pelagophyceae	Phaeophyceae	Pinguiophyceae	Raphidophyceae	Strameno_all	Photo_all	depth_level	station	template	fraction	ntags	Month	Latitude	Longitude	sampling_depth	date	chloro_hplc	tara_NO2	tara_PO4	NO2NO3	tara_SI	tara_temp	tara_salinity
TV9_164	2142	21	592	128	363	59	470	0	3775	5404	SUR	34	WGA/D	5-20	796759	jan	18.39666667	39.875	3	20-Jan-2010 06:17:54	0.197339	0.021	0.218	0.031	4.924	27.663	38.633
TV9_168	4110	43	402	1610	11337	49	0	5	17556	30191	DCM	34	D	0.8-5	1360019	jan	18.39666667	39.875	60	20-Jan-2010 07:44:50	0.181406	0.269	0.089	0.635	1.353	27.579	38.889
TV9_296	3602	45	7922	1313	4353	189	0	0	17424	31126	SUR	34	D	0.8-5	386583	jan	18.39666667	39.875	3	20-Jan-2010 06:17:54	0.197339	0.021	0.218	0.031	4.924	27.663	38.633
TV9_166	92	1	7	32	258	2	0	0	392	928	DCM	34	D	180-2000	676802	jan	18.39666667	39.875	60	20-Jan-2010 07:44:50	0.181406	0.269	0.089	0.635	1.353	27.579	38.889
TV9_163	605	10	1437	233	395	27	2	0	2709	5566	SUR	34	D	180-2000	1881957	jan	18.39666667	39.875	3	20-Jan-2010 06:17:54	0.197339	0.021	0.218	0.031	4.924	27.663	38.633
TV9_169	11288	1	7	15	128	6	0	0	11445	12437	DCM	34	D	20-180	1811011	jan	18.39666667	39.875	60	20-Jan-2010 07:44:50	0.181406	0.269	0.089	0.635	1.353	27.579	38.889
TV9_165	9634	6	71	197	494	12	0	0	10414	12007	SUR	34	D	20-180	1805156	jan	18.39666667	39.875	3	20-Jan-2010 06:17:54	0.197339	0.021	0.218	0.031	4.924	27.663	38.633
TV9_78	123	1	25	10	18	0	11	0	188	307	DCM	36	WGA/D	5-20	1726512	mar	20.81833333	63.50465	17	12-Mar-2010 10:34:22	0.353707	0.369	0.464	1.500	1.581	25.347	36.538
TV9_74	1425	25	96	101	75	12	58	0	1792	2805	SUR	36	WGA/D	5-20	1649661	mar	20.81833333	63.50465	3	12-Mar-2010 06:19:43	0.129697	0.045	0.375	0.123	1.244	26.186	36.526
TV9_79	12030	993	7226	16665	31065	4696	0	3	72678	159732	DCM	36	D	0.8-5	1621042	mar	20.81833333	63.50465	17	12-Mar-2010 10:34:22	0.353707	0.369	0.464	1.500	1.581	25.347	36.538
TV9_75	9071	569	5018	14536	10645	2308	0	0	42147	105503	SUR	36	D	0.8-5	1239789	mar	20.81833333	63.50465	3	12-Mar-2010 06:19:43	0.129697	0.045	0.375	0.123	1.244	26.186	36.526
TV9_77	18151	0	5	20	4	0	0	0	18180	18664	DCM	36	D	180-2000	2163021	mar	20.81833333	63.50465	17	12-Mar-2010 10:34:22	0.353707	0.369	0.464	1.500	1.581	25.347	36.538
TV9_73	4700	0	5	15	26	5	0	0	4751	5380	SUR	36	D	180-2000	1905376	mar	20.81833333	63.50465	3	12-Mar-2010 06:19:43	0.129697	0.045	0.375	0.123	1.244	26.186	36.526
TV9_80	16905	0	3	4	1	0	0	0	16913	17349	DCM	36	D	20-180	784139	mar	20.81833333	63.50465	17	12-Mar-2010 10:34:22	0.353707	0.369	0.464	1.500	1.581	25.347	36.538
TV9_76	91126	0	7	38	27	2	0	0	91200	93410	SUR	36	D	20-180	1935434	mar	20.81833333	63.50465	3	12-Mar-2010 06:19:43	0.129697	0.045	0.375	0.123	1.244	26.186	36.526
TV9_298	26395	68	497	895	1034	7	324	0	29220	34679	DCM	38	WGA/D	5-20	4395837	mar	19.03933333	64.49133333	25.3365	15-Mar-2010 09:32:52	0.604752	0.700	0.417	1.858	1.625	25.809	
TV9_301	5045	2	391	169	205	0	329	0	6141	10900	SUR	38	WGA/D	5-20	4059269	mar	19.03933333	64.49133333	5.45433	15-Mar-2010 03:44:19	0.161808	0.037	0.324	0.149	1.203	26.653	
TV9_242	10381	1067	3990	4755	20333	169	0	0	40695	83837	DCM	38	D	0.8-5	1012513	mar	19.03933333	64.49133333	25	15-Mar-2010 09:32:52	0.604752	0.700	0.417	1.858	1.625	25.809	
TV9_239	1407	3812	40703	9336	37387	782	7	0	93434	164035	SUR	38	D	0.8-5	1089128	mar	19.03933333	64.49133333	3	15-Mar-2010 03:44:19	0.161808	0.037	0.324	0.149	1.203	26.653	
TV9_241	383	2	18	2	7	0	2	0	414	614	DCM	38	D	180-2000	1061769	mar	19.03933333	64.49133333	25	15-Mar-2010 09:32:52	0.604752	0.700	0.417	1.858	1.625	25.809	
TV9_238	1698	13	14	3	9	0	13	0	1750	2696	SUR	38	WGA/D	180-2000	2581931	mar	19.03933333	64.49133333	3	15-Mar-2010 03:44:19	0.161808	0.037	0.324	0.149	1.203	26.653	
TV9_244	3053	0	4	0	7	0	0	1	3065	3152	DCM	38	D	20-180	1121273	mar	19.03933333	64.49133333	25	15-Mar-2010 09:32:52	0.604752	0.700	0.417	1.858	1.625	25.809	
TV9_240	676	1	8	6	3	0	0	0	694	995	SUR	38	D	20-180	1614969	mar	19.03933333	64.49133333	3	15-Mar-2010 03:44:19	0.161808	0.037	0.324	0.149	1.203	26.653	
TV9_302	11306	0	2678	2221	182	375	524	0	17286	23828	DCM	39	WGA/D	5-20	2373129	mar	18.5702	66.4861	25.3126	18-Mar-2010 09:52:57	0.17638	0.017	0.262	0.093	1.275	26.974	36.425
TV9_308	11	0	0	0	0	0	0	0	11	18	SUR	39	WGA/D	5-20	213107	mar	18.5702	66.4861	5.38858	18-Mar-2010 04:41:12	0.099089	0.005	0.233	0.035	1.447	27.399	36.287
TV9_304	20	0	1	1	5	0	0	0	27	57	DCM	39	D	180-2000	205013	mar	18.5702	66.4861	25.3126	18-Mar-2010 09:52:57	0.17638	0.017	0.262	0.093	1.275	26.974	36.425
TV9_310	1887	0	1	5	5	2	0	0	1900	1933	SUR	39	WGA/D	180-2000	230356	mar	18.5702	66.4861	5.38858	18-Mar-2010 04:41:12	0.099089	0.005	0.233	0.035	1.447	27.399	36.287
